timestamp,model_name,prompt,prompt_tokens,completion_tokens,total_tokens,response_time_ms,tokens_per_second,temperature,cpu_model,cpu_cores,cpu_usage_percent,cpu_speed,total_memory_gb,memory_usage_percent,gpu_model,gpu_vendor,os
2025-02-27T23:41:19.834Z,llama-3.2-3b-instruct,What are tuples in Python?,514,18,532,506,1050.37,0.5,Intel(R) Xeon(R) w9-3595X,56,2.14,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:41:30.080Z,llama-3.2-3b-instruct,What are dictionaries in Python?,557,23,580,483,1200.69,0.5,Intel(R) Xeon(R) w9-3595X,56,1.58,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:41:43.879Z,llama-3.2-3b-instruct,What is the difference between a list and a set in Python,604,24,628,606,1035.73,0.5,Intel(R) Xeon(R) w9-3595X,56,1.19,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,
2025-02-27T23:42:00.862Z,llama-3.2-3b-instruct,What is Stack Overflow,174,25,199,471,422.27,0.5,Intel(R) Xeon(R) w9-3595X,56,0.92,1992,64,29,NVIDIA RTX 5000 Ada Generation,NVIDIA,Windows_NT-10.0.26100,

2025-03-13T03:01:36.925Z,hermes-3-llama-3.2-3b,Hello,155,2,157,2261,69.45,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,0,2496,16,84,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-13T03:43:43.475Z,hermes-3-llama-3.2-3b,Hello,155,2,157,502,312.52,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,0,2496,16,85,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-13T03:51:48.731Z,hermes-3-llama-3.2-3b,What is 2 + 2,161,25,186,3547,52.43,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,1.98,2496,16,84,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-13T03:52:24.705Z,hermes-3-llama-3.2-3b,What is the derivative of f(x),162,25,187,3430,54.52,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,4.68,2496,16,85,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-13T03:52:42.724Z,hermes-3-llama-3.2-3b,What is python?,473,24,497,7673,64.78,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,10.37,2496,16,85,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
